date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country
2014-01-01,514847,3,2.0,3055,199775,1.5,0,0,5,2169,886,1914,0,3838 Elm St,Sammamish,WA 98209,USA
2014-01-01,1036142,8,4.0,6535,43136,3.0,0,0,3,4743,1792,1910,0,425 Main St,North Bend,WA 98121,USA
2014-01-01,406234,5,2.5,1650,94699,1.5,0,0,3,1321,329,1926,2007,4987 Main St,Edmonds,WA 98033,USA
2014-01-01,1166600,2,3.5,7932,89456,1.5,0,2,5,5020,2912,1978,0,651 Main St,Auburn,WA 98165,USA
2014-01-01,535750,7,3.0,2235,84086,2.0,0,0,3,1975,260,1944,2010,8584 Pine St,Mercer Island,WA 98165,USA
2014-01-01,417401,3,3.5,1538,168415,2.0,0,0,4,844,694,1937,0,9255 Elm St,Sammamish,WA 98000,USA
2014-01-01,1141924,4,2.0,6869,118529,1.0,0,0,4,5359,1510,1903,0,2892 Main St,Duvall,WA 98011,USA
2014-01-02,1088191,1,1.5,7627,19254,1.0,0,0,4,6191,1436,1977,0,9921 Pine St,Auburn,WA 98022,USA
2014-01-02,725503,3,4.0,3412,62273,2.5,0,1,3,2058,1354,1944,0,8584 Oak St,Auburn,WA 98209,USA
2014-01-02,1219182,3,2.0,7772,191683,3.0,0,2,3,7095,677,1909,0,5774 Main St,Kirkland,WA 98176,USA
2014-01-02,852119,5,3.0,5340,118574,2.0,0,0,4,4313,1027,1953,0,2919 Pine St,Mercer Island,WA 98209,USA
2014-01-02,504027,3,1.0,3040,115847,1.0,0,1,3,2501,539,1928,0,733 Main St,Redmond,WA 98000,USA
2014-01-02,900350,5,4.0,4914,106547,3.0,0,1,4,3679,1235,1911,0,7878 Elm St,Bellevue,WA 98209,USA
2014-01-03,498600,1,2.0,1742,192074,1.5,0,0,3,1663,79,1955,2021,9165 Elm St,Federal Way,WA 98055,USA
2014-01-03,1208180,1,3.5,7944,13926,3.0,0,0,3,6728,1216,1939,0,2903 Pine St,Issaquah,WA 98154,USA
2014-01-03,501334,4,4.0,1272,196336,2.0,0,3,3,878,394,1983,0,9813 Main St,Bellevue,WA 98143,USA
2014-01-03,751604,5,3.5,2416,90527,2.5,0,1,5,1496,920,1936,0,5656 Main St,Seattle,WA 98209,USA
2014-01-03,762975,5,2.5,3912,108387,2.0,0,0,3,2094,1818,1965,0,5748 Elm St,Federal Way,WA 98154,USA
2014-01-03,598231,2,2.5,2999,28563,1.0,0,0,3,1747,1252,1919,0,9834 Oak St,Federal Way,WA 98143,USA
2014-01-04,724739,2,2.5,3940,162760,1.0,0,2,5,3925,15,1911,0,3663 Main St,Kenmore,WA 98044,USA
2014-01-04,966604,4,4.0,5539,166202,3.0,0,0,4,3896,1643,1937,2018,5829 Oak St,Kent,WA 98055,USA
2014-01-04,1118293,1,1.0,7491,1925,2.0,0,2,5,7111,380,1929,0,9568 Elm St,Bothell,WA 98176,USA
2014-01-04,1260980,6,3.0,7660,52595,1.0,0,4,3,4483,3177,1946,0,8365 Main St,Edmonds,WA 98110,USA
2014-01-04,1149750,2,4.0,6610,131249,1.5,0,4,4,4710,1900,1981,2004,7784 Main St,Edmonds,WA 98165,USA
2014-01-04,733964,3,1.5,4045,17321,1.5,0,3,3,3965,80,2013,0,4871 Elm St,Duvall,WA 98121,USA
2014-01-04,478824,1,3.5,1713,142841,2.5,0,0,4,934,779,1973,0,1489 Oak St,Federal Way,WA 98154,USA
2014-01-05,807480,6,3.5,3431,168820,3.0,0,3,4,2734,697,1970,1998,4846 Elm St,North Bend,WA 98033,USA
2014-01-05,299874,8,4.0,918,172100,1.0,0,0,3,880,38,1941,2021,5564 Main St,Redmond,WA 98187,USA
2014-01-05,782899,3,4.0,4281,17151,2.5,0,3,3,4173,108,1904,0,6790 Pine St,Renton,WA 98022,USA
2014-01-05,1060493,7,3.0,5460,77133,1.5,1,0,4,5039,421,1947,0,6278 Pine St,Duvall,WA 98077,USA
2014-01-05,410979,5,1.0,1288,35187,2.5,0,0,2,1195,93,1992,1997,7044 Main St,Sammamish,WA 98022,USA
2014-01-05,490176,1,4.0,2371,44835,2.5,0,0,4,1958,413,2014,0,9692 Elm St,Burien,WA 98077,USA
2014-01-06,891442,7,2.5,5090,1059,1.0,0,2,3,3105,1985,1998,0,5963 Pine St,Sammamish,WA 98187,USA
2014-01-06,981745,4,3.0,5658,28235,1.0,0,0,5,4896,762,2002,0,393 Oak St,Woodinville,WA 98099,USA
2014-01-06,1176031,5,1.5,6805,95208,1.0,1,0,3,6731,74,1950,0,4368 Oak St,Kirkland,WA 98209,USA
2014-01-06,581186,5,2.5,2525,68114,3.0,0,2,3,1926,599,1911,2020,4158 Pine St,Lynnwood,WA 98176,USA
2014-01-06,1019894,3,1.5,6764,177438,2.5,0,1,3,4263,2501,1909,0,7295 Main St,Woodinville,WA 98077,USA
2014-01-06,823982,7,2.0,2946,130191,2.5,1,0,3,2317,629,1936,1983,8595 Pine St,Burien,WA 98110,USA
